kode,nama_bahan,kategori,energi_kkal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,vitc_mg,kelas_rekomendasi,label_kelas
AR001,"Beras Giling, Mentah",Serealia,357,8.4,1.7,77.1,0.2,147.0,81.0,1.8,27.0,0.0,1,Karbo_Kompleks
AR002,"Beras Giling Var Pelita,  Mentah",Serealia,369,9.5,1.4,77.1,0.4,68.0,171.0,1.4,34.0,0.0,1,Karbo_Kompleks
AR003,"Beras Giling Var  Rojolele, Mentah",Serealia,357,8.4,1.7,77.1,0.2,147.0,81.0,1.8,34.0,0.0,1,Karbo_Kompleks
AR004,"Beras Hitam, Mentah",Serealia,351,8.0,1.3,76.9,20.1,6.0,198.0,0.1,15.0,0.0,1,Karbo_Kompleks
AR005,"Beras Jagung Kuning, Kering, Mentah",Serealia,358,5.5,0.1,82.7,10.0,20.0,90.0,1.4,1.0,3.0,1,Karbo_Kompleks
AR006,"Beras Jagung Putih,  Kering, Mentah",Serealia,307,4.8,0.1,71.8,10.0,17.0,78.0,1.2,1.0,0.0,1,Karbo_Kompleks
AR007,"Beras Ketan Hitam Tumbuk, Mentah",Serealia,360,8.0,2.3,74.5,1.0,10.0,347.0,6.2,11.0,0.0,1,Karbo_Kompleks
AR008,"Beras Ketan Putih  Tumbuk, Mentah",Serealia,361,7.4,0.8,78.4,0.4,13.0,157.0,3.4,3.0,0.0,1,Karbo_Kompleks
AR009,"Beras Ladang, Mentah",Serealia,376,7.5,3.8,78.0,5.9,20.0,110.0,0.8,10.0,0.0,1,Karbo_Kompleks
AR010,"Beras Menir, Mentah",Serealia,362,7.7,4.4,73.0,0.2,22.0,272.0,3.7,90.0,0.0,1,Karbo_Kompleks
AR011,Beras Parboiled,Serealia,353,6.8,0.6,80.0,0.5,5.0,142.0,0.8,2.0,0.0,1,Karbo_Kompleks
AR012,"Beras Tumbuk, Mentah",Serealia,354,7.8,0.4,79.9,3.8,3.0,112.0,0.6,5.0,0.0,1,Karbo_Kompleks
AR013,"Beras Tumbuk Merah,  Mentah",Serealia,352,7.3,0.9,76.2,0.8,15.0,257.0,4.2,10.0,0.0,1,Karbo_Kompleks
AR014,"Cantel, Mentah",Serealia,366,11.0,3.3,73.0,1.2,28.0,287.0,4.4,7.0,0.0,1,Karbo_Kompleks
AR015,"Jagung Muda, Kuning,  Mentah",Serealia,147,5.1,0.7,31.5,1.3,6.0,122.0,1.1,5.0,9.0,1,Karbo_Kompleks
AR016,"Jagung Kuning Pipil,  Kering, Mentah",Serealia,366,9.8,7.3,69.1,2.2,30.0,538.0,2.3,5.0,3.0,1,Karbo_Kompleks
AR017,"Jagung Pipil Var,  Harapan, Kering",Serealia,367,6.2,5.1,76.2,2.6,7.0,354.0,2.8,1.0,0.0,1,Karbo_Kompleks
AR018,"Jagung Pipil Var,  Metro, Kering",Serealia,368,5.5,4.6,78.0,2.9,7.0,300.0,2.4,1.0,0.0,1,Karbo_Kompleks
AR019,"Jali, Mentah",Serealia,324,11.0,4.0,61.0,3.1,213.0,176.0,0.0,24.0,0.0,1,Karbo_Kompleks
AR020,"Jawawut, Mentah",Serealia,364,9.7,3.5,73.4,8.2,28.0,311.0,5.3,7.0,0.0,1,Karbo_Kompleks
AR021,"Jampang Huma,  Mentah",Serealia,350,6.2,1.4,78.2,1.7,329.0,254.0,5.3,53.0,0.0,1,Karbo_Kompleks
AP001,Nasi,Serealia,180,3.0,0.3,39.8,0.2,25.0,27.0,0.4,1.0,0.0,1,Karbo_Kompleks
AP002,Nasi Tim,Serealia,120,2.4,0.4,26.0,0.5,3.0,7.0,0.4,0.0,0.0,1,Karbo_Kompleks
AP003,"Beras, Tapai",Serealia,99,1.7,0.3,22.4,0.0,4.0,19.0,0.0,26.0,0.0,3,Rendah_Kalori
AP004,"Beras, Tepung, Mentah",Serealia,353,7.0,0.5,80.0,2.4,5.0,140.0,0.8,5.0,0.0,1,Karbo_Kompleks
AP005,"Beras Merah, Nasi",Serealia,149,2.8,0.4,32.5,0.3,6.0,63.0,0.8,5.0,0.0,1,Karbo_Kompleks
AP006,"Bihun, Mentah",Serealia,348,4.7,0.1,82.1,1.2,6.0,35.0,1.8,12.0,0.0,1,Karbo_Kompleks
AP007,Bihun Goreng Instan,Serealia,381,6.1,3.9,80.3,0.0,266.0,151.0,2.9,928.0,0.0,1,Karbo_Kompleks
AP008,"Bihun Jagung, Mentah",Serealia,354,0.5,0.3,87.4,3.0,13.0,111.0,0.6,49.0,0.0,1,Karbo_Kompleks
