jenis_kelamin,usia,tinggi_cm,berat_kg,level_aktivitas,target_user,akg_energi_kkal,akg_protein_g,akg_lemak_total_g,akg_karbohidrat_g
Perempuan,15,165.0,86.0,sangat_aktif,Turun_BB,2050.0,65.0,70.0,300.0
Laki-laki,14,171.0,72.0,sangat_aktif,Jaga_BB,2400.0,70.0,80.0,350.0
Laki-laki,17,170.0,70.0,tidak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,173.0,70.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,176.0,68.0,agak_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,179.2,137.859737,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,176.0,70.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,180.2,149.935848,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,162.0,58.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,162.0,69.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,17,170.0,56.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,190.0,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Perempuan,17,160.0,59.0,agak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,17,160.0,53.0,sangat_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,164.3,82.144405,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,175.0,70.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,182.0,80.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,180.0,97.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,170.0,55.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,187.0,173.0,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,182.2,142.102468,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,17,160.0,65.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,178.0,64.4,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Perempuan,18,182.8,152.720545,sangat_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Perempuan,18,145.0,53.0,agak_aktif,Turun_BB,2100.0,65.0,70.0,300.0
Laki-laki,17,174.0,56.0,sangat_aktif,Jaga_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,173.9,50.248677,agak_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,172.3,53.783977,aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,170.0,98.0,tidak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,160.0,60.0,tidak_aktif,Jaga_BB,2100.0,65.0,70.0,300.0
Perempuan,18,170.8,50.0,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,170.0,90.0,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,177.0,87.0,agak_aktif,Turun_BB,2650.0,75.0,85.0,400.0
Perempuan,18,176.3,50.279053,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Perempuan,18,170.0,50.0,tidak_aktif,Tambah_BB,2100.0,65.0,70.0,300.0
Laki-laki,18,184.2,60.0,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,185.6,58.673963,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,182.9,59.933015,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,17,182.2,58.443049,sangat_aktif,Tambah_BB,2650.0,75.0,85.0,400.0
Laki-laki,18,174.0,86.0,sangat_aktif,Turun_BB,2650.0,75.0,85.0,400.0
